,Name,Age,Three_rtg,Two_rtg,Free_throw_rtg,Pass_rtg,draw_foul_rtg,take_three_prob,take_two_prob,make_ast_prob,turnover_prob,stamina,usageRate,rebound_rtg,steal_rtg,block_rtg,height,team
0,Precious Achiuwa,24,55,79,62,66,73,31,68,45,82,76,34,91,56,91,79,TOT
1,Bam Adebayo,26,42,81,76,88,96,12,98,82,58,96,83,97,88,91,81,MIA
2,Ochai Agbaji,23,64,63,72,54,50,52,35,24,78,72,9,60,39,67,76,TOT
3,Santi Aldama,23,75,72,61,76,71,78,60,62,51,80,49,88,56,86,83,MEM
4,Nickeil Alexander-Walker,25,83,64,79,79,58,69,35,67,23,77,26,55,65,67,76,MIN
5,Grayson Allen,28,96,68,88,83,77,85,44,73,31,93,23,76,74,82,75,PHO
6,Jarrett Allen,25,44,93,73,80,92,8,89,68,65,90,60,97,65,95,81,CLE
7,Jose Alvarado,25,75,58,69,74,62,65,39,59,28,69,55,57,88,45,71,NOP
8,Kyle Anderson,30,49,68,70,88,75,18,61,82,12,76,49,71,65,67,79,MIN
9,Giannis Antetokounmpo,29,57,96,66,96,98,36,99,95,48,96,98,98,92,91,83,MIL
10,Thanasis Antetokounmpo,31,44,56,65,46,42,3,9,11,79,51,13,41,10,16,77,MIL
11,Cole Anthony,23,65,68,82,83,87,60,72,73,52,76,80,77,65,67,74,ORL
12,OG Anunoby,26,86,86,77,77,79,84,72,63,67,94,41,79,94,82,78,TOT
13,Deni Avdija,23,80,80,73,86,88,54,76,78,53,86,68,92,65,57,81,WAS
14,Deandre Ayton,25,44,88,83,72,69,3,94,54,87,90,45,98,82,86,83,POR
15,Udoka Azubuike,24,44,78,27,41,58,3,20,2,95,54,9,58,5,57,82,PHO
16,Marvin Bagley III,24,52,87,74,62,85,14,81,37,87,75,65,90,28,76,82,TOT
17,Patrick Baldwin Jr,21,72,44,69,44,53,29,12,7,75,55,27,57,5,32,81,WAS
18,LaMelo Ball,22,84,75,86,97,93,99,89,98,38,91,97,85,99,32,78,CHO
19,Mo Bamba,25,72,59,63,50,58,22,35,18,87,60,29,73,19,91,83,PHI
20,Paolo Banchero,21,77,76,70,93,97,71,97,89,57,96,93,92,82,76,81,ORL
21,Desmond Bane,25,91,83,86,93,91,98,88,90,46,95,90,82,82,67,77,MEM
22,Dalano Banton,24,62,57,71,68,75,39,51,48,48,62,78,60,19,32,81,TOT
23,Dominick Barlow,20,57,65,67,58,71,12,48,32,1,62,34,71,28,67,81,SAS
24,Harrison Barnes,31,87,80,80,58,82,76,56,32,66,86,21,64,56,32,79,SAC
25,Scottie Barnes,22,76,82,78,95,92,78,90,94,36,96,87,94,94,96,79,TOR
26,RJ Barrett,23,80,82,70,84,94,73,90,74,64,90,83,86,39,57,77,TOT
27,Charles Bassey,23,44,81,83,58,45,8,29,32,74,59,13,77,28,89,81,SAS
28,Emoni Bates,20,55,43,25,46,47,45,6,11,28,55,38,44,5,32,80,CLE
29,Keita Bates-Diop,28,57,62,75,52,58,29,27,21,21,63,13,57,39,57,79,TOT
30,Nicolas Batum,35,83,69,73,76,47,54,15,61,7,78,0,76,56,82,80,TOT
31,Bradley Beal,30,83,83,78,90,87,74,88,85,47,92,80,78,82,45,75,PHO
32,Malik Beasley,27,96,64,64,66,47,92,33,45,43,88,11,74,65,16,75,MIL
33,MarJon Beauchamp,23,74,64,67,50,53,33,26,18,82,63,14,56,19,16,77,MIL
34,Davis Bertans,31,88,41,86,54,58,69,3,24,0,61,43,46,28,32,82,TOT
35,Patrick Beverley,35,65,59,80,81,67,49,40,71,16,72,45,67,48,57,72,TOT
36,Saddiq Bey,24,73,72,83,68,88,86,68,48,60,92,40,91,65,32,79,ATL
37,Goga Bitadze,24,42,83,65,66,72,10,51,45,55,69,19,86,48,95,82,ORL
38,Anthony Black,20,74,59,64,68,69,31,35,48,60,71,15,58,48,45,78,ORL
39,Bogdan Bogdanovic,31,87,71,91,81,77,97,69,71,35,87,71,68,94,45,77,ATL
40,Bol Bol,24,59,84,70,44,47,26,40,7,87,59,26,71,10,76,85,PHO
41,Devin Booker,27,85,85,88,97,97,87,97,96,22,97,95,82,74,57,76,PHO
42,Brandon Boston Jr,22,54,52,75,42,58,26,37,4,87,54,71,44,5,32,78,LAC
43,Chris Boucher,31,63,79,77,46,76,39,37,11,91,64,40,78,19,67,80,TOR
44,James Bouknight,23,82,47,50,44,42,43,8,7,5,53,61,42,5,16,75,CHO
45,Malaki Branham,20,71,66,93,76,58,60,62,62,51,74,59,55,28,16,76,SAS
46,Christian Braun,22,69,62,70,66,75,36,54,45,33,72,34,72,28,57,77,DEN
47,Mikal Bridges,27,84,76,81,87,93,94,87,80,52,97,81,83,82,57,78,BRK
48,Miles Bridges,25,83,79,83,84,87,90,92,75,61,98,74,93,82,67,77,CHO
49,Oshae Brissett,25,54,69,62,52,71,24,20,21,21,59,30,65,28,16,79,BOS
50,Malcolm Brogdon,31,91,66,81,94,87,80,79,91,6,86,83,74,56,32,76,POR
51,Dillon Brooks,28,84,66,83,70,80,78,69,51,79,89,38,71,74,16,77,HOU
52,Bruce Brown,27,62,75,86,80,80,51,72,68,34,85,44,82,74,45,75,TOT
53,Jaylen Brown,27,79,89,70,86,92,87,93,79,63,93,88,88,88,67,77,BOS
54,Kendall Brown,20,44,66,66,42,58,8,5,4,98,51,87,40,1,4,78,IND
55,Moses Brown,24,44,54,14,42,50,3,35,4,93,55,20,76,5,45,85,POR
56,Troy Brown Jr,24,71,64,87,56,50,47,12,28,43,60,29,55,10,4,78,TOT
57,Jalen Brunson,27,92,79,84,96,96,90,97,96,19,96,96,73,74,32,73,NYK
58,Thomas Bryant,26,44,77,81,48,58,12,40,15,87,58,35,65,10,45,81,MIA
59,Kobe Bufkin,20,58,48,50,72,47,39,31,54,17,58,72,51,19,16,76,ATL
60,Alec Burks,32,84,53,87,66,85,83,54,45,55,73,76,58,28,32,77,TOT
61,Jimmy Butler,34,83,79,85,91,98,49,92,87,21,95,87,87,96,57,78,MIA
62,Kentavious Caldwell-Pope,30,84,64,92,77,75,69,55,64,30,90,14,59,94,67,76,DEN
63,Toumani Camara,23,65,66,75,58,72,49,54,32,90,78,16,84,82,57,79,POR
64,Clint Capela,29,44,83,66,58,85,3,84,32,80,79,42,97,39,96,82,ATL
65,Jevon Carter,28,68,49,57,62,42,57,24,37,30,64,38,43,39,32,72,CHI
66,Wendell Carter Jr,24,83,84,72,70,85,54,64,51,75,81,40,92,39,76,81,ORL
67,Alex Caruso,29,82,77,75,81,71,74,42,71,35,84,29,73,98,93,76,CHI
68,Colin Castleton,23,44,76,65,44,53,3,18,7,5,52,35,47,1,4,83,LAL
69,Julian Champagnie,22,78,49,83,64,62,65,18,41,49,70,24,61,48,67,79,SAS
70,Max Christie,20,69,57,78,56,58,39,27,28,58,67,14,59,19,45,76,LAL
71,Sidy Cissoko,19,44,51,65,40,55,19,1,0,99,52,5,44,39,4,77,SAS
72,Jordan Clarkson,31,70,72,88,92,90,86,86,88,47,88,89,69,48,16,75,UTA
73,Nic Claxton,24,47,92,59,74,85,8,84,59,58,87,33,96,48,98,82,BRK
74,Noah Clowney,19,50,77,65,54,55,14,20,24,14,56,20,52,10,16,82,BRK
75,Amir Coffey,26,81,75,88,56,62,43,31,28,28,72,5,52,39,32,79,LAC
76,John Collins,26,72,88,78,62,84,65,78,37,93,85,53,95,48,91,80,UTA
77,Zach Collins,26,63,79,73,81,82,52,73,71,71,76,74,86,39,86,82,SAS
78,Mike Conley,36,93,57,91,95,69,80,44,94,2,86,56,66,82,32,71,MIN
79,Pat Connaughton,31,78,73,73,73,55,57,16,57,12,75,4,68,48,45,76,MIL
80,Bilal Coulibaly,19,71,64,70,72,79,54,55,54,80,82,22,77,74,86,78,WAS
81,Robert Covington,33,66,66,84,52,60,39,18,21,43,68,2,68,94,76,78,TOT
