,StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,2FGPG,2FGAPG,3FGPG,3FGAPG,FTPG,FTAPG,RPG,APG,SPG,BPG,TOPG,MPG
0,1189881,305,60000075,1,2024,Jalen Reynolds,SOUTH,F,60000305,2024-03-18T13:33:28,27,252.9,357,40,79,52.0,52.0,40,79,52.0,0,0,0.0,27,43,63.6,41,46,87,13.7,16.7,15.1,12,15,10,27,61,107,98.2,56.0,12.3,6.9,2.7,3.5,22.0,17.7,252.9,270.6,,1.4814814814814814,2.925925925925926,0.0,0.0,1.0,1.5925925925925926,3.2222222222222223,0.4444444444444444,0.5555555555555556,0.37037037037037035,1.0,13.222222222222221
1,1189804,8,60000822,1,2024,Ibrahima Diallo,UCF,F,60000008,2024-03-18T13:33:28,31,553.2,605,75,138,56.0,56.0,75,138,56.0,0,0,0.0,51,90,58.4,66,112,178,11.4,20.8,16.0,13,23,57,40,75,201,177.6,58.4,17.5,4.5,2.2,11.0,18.9,17.6,553.2,588.3,,2.4193548387096775,4.451612903225806,0.0,0.0,1.6451612903225807,2.903225806451613,5.741935483870968,0.41935483870967744,0.7419354838709677,1.8387096774193548,1.2903225806451613,19.516129032258064
2,1189510,232,60000979,1,2024,Jordan Jones,CENCON,G,60000232,2024-03-18T13:33:28,31,785.9,935,147,334,45.2,50.9,110,225,50.3,37,109,35.0,85,114,76.9,25,88,113,3.3,10.9,7.4,116,59,6,70,48,416,384.3,55.6,17.3,26.0,4.2,0.8,15.8,26.2,785.9,845.0,,3.5483870967741935,7.258064516129032,1.1935483870967742,3.5161290322580645,2.7419354838709675,3.6774193548387095,3.6451612903225805,3.7419354838709675,1.903225806451613,0.1935483870967742,2.2580645161290325,30.161290322580644
3,1192079,250,60003526,1,2024,Assane Diop,COL,F,60000250,2024-03-18T13:33:28,32,106.6,227,15,39,40.6,40.6,15,30,53.1,0,10,0.0,13,16,83.5,13,24,37,8.2,12.2,10.2,11,4,4,15,34,44,46.3,49.1,5.7,8.4,1.2,2.0,25.7,14.7,106.6,116.2,,0.46875,0.9375,0.0,0.3125,0.40625,0.5,1.15625,0.34375,0.125,0.125,0.46875,7.09375
4,1196257,112,60005932,1,2024,Robert Jones,KANST,G,60000112,2024-03-18T13:33:28,27,122.8,242,21,67,31.7,44.3,3,11,28.1,17,56,32.4,11,13,87.0,2,19,21,1.1,8.8,5.2,20,5,1,13,26,70,72.7,49.5,6.7,16.4,1.4,0.5,16.0,18.9,122.8,139.3,,0.1111111111111111,0.4074074074074074,0.6296296296296297,2.074074074074074,0.4074074074074074,0.48148148148148145,0.7777777777777778,0.7407407407407407,0.18518518518518517,0.037037037037037035,0.48148148148148145,8.962962962962964
5,1188917,362,60006270,1,2024,Jamar Brown,UMKC,G,60000362,2024-03-18T13:33:28,32,836.0,1127,177,390,46.7,54.5,117,211,57.2,60,179,34.2,81,96,87.3,76,125,201,8.0,13.5,10.6,47,33,10,58,68,494,431.7,58.9,16.3,9.1,1.9,1.3,12.1,22.4,836.0,915.4,,3.65625,6.59375,1.875,5.59375,2.53125,3.0,6.28125,1.46875,1.03125,0.3125,1.8125,35.21875
6,1191162,348,60006745,1,2024,Trevin Dorius,UTAHV,C,60000348,2024-03-18T13:33:28,32,780.1,751,120,229,54.0,54.4,119,227,54.0,1,2,51.4,67,93,74.2,99,160,259,14.4,23.9,19.1,24,24,59,39,93,308,270.0,58.7,21.4,6.9,1.9,9.0,13.0,21.0,780.1,819.3,,3.71875,7.09375,0.03125,0.0625,2.09375,2.90625,8.09375,0.75,0.75,1.84375,1.21875,23.46875
7,1192414,195,60006938,1,2024,Seth Towns,HOWRD,F,60000195,2024-03-18T13:33:28,31,843.8,995,131,357,37.6,47.4,64,160,40.8,67,196,35.0,120,144,85.9,38,172,210,4.7,19.7,12.4,78,31,13,62,96,448,420.0,54.9,15.4,16.0,1.9,1.6,13.2,24.4,843.8,923.1,,2.064516129032258,5.161290322580645,2.161290322580645,6.32258064516129,3.870967741935484,4.645161290322581,6.774193548387097,2.5161290322580645,1.0,0.41935483870967744,2.0,32.096774193548384
8,1209244,115,60007147,1,2024,Juan Munoz,HAWAII,G,60000115,2024-03-18T13:33:28,34,476.5,513,103,240,44.1,59.1,34,71,49.1,69,169,42.0,45,53,87.0,4,52,57,0.9,9.7,5.4,61,24,3,56,40,320,263.0,62.4,19.9,20.2,2.5,0.5,18.2,26.8,476.5,541.5,,1.0,2.088235294117647,2.0294117647058822,4.970588235294118,1.3235294117647058,1.5588235294117647,1.6764705882352942,1.7941176470588236,0.7058823529411765,0.08823529411764706,1.6470588235294117,15.088235294117647
9,1328083,171,60007207,1,2024,Dejuan Clayton,MANH,G,60000171,2024-03-18T13:33:28,2,35.4,51,10,20,48.7,48.7,10,14,66.1,0,5,0.0,4,7,58.7,0,7,7,0.0,17.1,8.5,6,0,0,5,2,23,22.7,51.4,10.6,28.8,0.0,0.0,19.0,29.0,35.4,38.3,,5.0,7.0,0.0,2.5,2.0,3.5,3.5,3.0,0.0,0.0,2.5,25.5
10,1190144,214,60008107,1,2024,Jemarl Baker,NMX,G,60000214,2024-03-18T13:33:28,34,300.1,622,53,135,40.8,56.5,11,26,45.2,42,109,39.8,7,10,72.0,3,50,53,0.6000000000000001,8.5,4.4,36,12,5,10,40,156,139.2,57.7,10.2,9.9,1.3,0.6000000000000001,6.3,11.6,300.1,328.4,,0.3235294117647059,0.7647058823529411,1.2352941176470589,3.2058823529411766,0.20588235294117646,0.29411764705882354,1.5588235294117647,1.0588235294117647,0.35294117647058826,0.14705882352941177,0.29411764705882354,18.294117647058822
