,Name,Age,Three_rtg,Two_rtg,Free_throw_rtg,Pass_rtg,draw_foul_rtg,take_three_prob,take_two_prob,make_ast_prob,turnover_prob,stamina,usageRate,rebound_rtg,steal_rtg,block_rtg,Height,Team
0,Jalen Reynolds,22,31,58,63,49,75,8,58,35,99,72,42,61,43,58,79,SOUTH
1,Ibrahima Diallo,22,63,99,58,82,89,8,75,22,73,80,41,99,88,99,84,UCF
2,Jordan Jones,22,69,66,76,81,93,82,90,93,36,92,85,68,83,48,72,CENCON
3,Assane Diop,19,58,80,83,75,63,38,38,44,56,68,24,73,43,64,80,COL
4,Robert Jones,19,92,66,87,86,61,65,26,78,9,68,50,74,51,46,75,KANST
5,Jamar Brown,21,1,1,87,1,90,94,89,48,1,97,70,1,1,1,77,UMKC
6,Trevin Dorius,22,82,91,74,78,89,24,90,35,69,85,62,99,79,99,84,UTAHV
7,Seth Towns,22,1,1,85,1,96,96,80,77,1,94,79,1,1,1,81,HOWRD
8,Juan Munoz,22,96,71,87,91,79,93,55,86,43,77,87,70,76,49,72,HAWAII
9,Dejuan Clayton,22,38,67,58,49,56,31,28,96,49,60,91,43,-2,3,74,MANH
10,Jemarl Baker,22,99,70,72,90,58,82,36,52,-6,81,11,77,62,68,77,NMX
11,Terrence Lewis,22,74,66,68,45,64,69,53,23,99,74,62,51,33,37,78,GRMBST
12,Chuck OBannon Jr,22,99,85,79,90,78,67,52,52,-12,75,40,90,65,95,79,TCU
13,Aanen Moody,22,88,86,90,87,85,98,91,68,36,97,80,78,79,42,75,MONT
14,Darnell Brodie,22,54,99,67,97,91,8,94,76,40,89,73,99,76,93,82,DRAKE
15,Cam Martin,22,73,91,66,99,84,51,62,94,13,78,52,98,77,76,81,BOISE
16,Michael Hueitt Jr,22,87,87,0,54,50,31,19,6,-11,59,24,59,35,23,75,PITT
17,Cameron Bacote,22,83,69,0,84,44,33,22,91,-1,65,5,64,42,26,75,GEORGE
18,Jelani Williams,22,1,1,102,1,57,45,46,96,1,68,50,1,1,1,77,HOWRD
19,Avery Wilson,22,58,59,48,64,78,53,49,71,58,72,51,53,43,36,76,SELOU
20,Austin Williams,22,93,85,40,83,73,44,56,44,63,74,35,87,67,81,76,RUTGER
21,Jalen Jordan,22,87,69,76,79,81,83,42,67,52,77,67,69,64,15,74,MTNST
22,Alexis Yetna,22,59,63,61,48,62,51,44,20,61,68,44,61,37,54,80,FAIR
23,Francisco Caffaro,22,53,92,63,90,83,8,57,77,28,76,22,92,52,86,85,SANCLR
24,Jahvon Quinerly,22,96,83,81,99,94,94,84,94,3,96,67,90,99,48,73,MPHS
25,Keonte Kennedy,22,89,87,65,95,78,77,71,59,7,87,37,96,99,74,77,CAH
26,Elijah Elliott,21,79,81,73,99,97,91,98,86,39,95,93,87,99,79,73,UTRGV
27,LaQuill Hardnett,22,79,71,51,43,57,30,31,6,97,63,15,61,28,58,80,ARKST
28,Emmanuel Dowuona,22,35,54,68,44,67,8,33,19,99,66,13,48,12,18,82,TENST
29,DJ Burns,22,70,99,69,99,88,31,99,0,12,60,98,99,76,99,81,NCST
30,Jaedon LeDee,22,95,99,75,95,98,58,99,53,66,97,93,99,99,97,81,SDST
31,Zan Payne,22,81,61,29,67,56,38,20,19,1,66,4,72,46,23,77,LOU
32,John Newman III,22,99,99,74,99,85,76,80,58,21,94,36,99,99,86,77,CIN
33,Jordan Brown,22,55,77,57,62,68,8,51,16,86,66,77,72,40,66,83,MPHS
34,KJ Hymes,22,57,96,55,72,94,19,64,20,78,77,55,89,48,99,82,NEVADA
35,Vincent Lee,22,49,89,57,62,68,8,60,18,86,72,19,72,54,68,81,CSUFL
36,Matthew Mims,22,1,1,85,1,69,78,39,30,1,81,16,1,1,1,72,SDKST
37,Kobe Julien,21,84,86,84,83,97,93,96,42,77,96,90,92,90,90,78,LOULAF
38,Jeremiah Gambrell,22,79,58,81,58,86,95,70,33,63,88,71,57,70,47,75,ALCST
39,Tolu Smith,22,60,99,59,89,97,8,90,58,66,81,90,99,69,87,83,MSPST
40,DaQuan Smith,22,88,75,87,89,88,96,92,67,31,95,88,77,84,69,73,RADF
41,Jose Placer,22,95,70,82,89,62,72,50,80,23,76,49,70,57,20,73,SFL
42,Anthony Crump,22,57,80,26,81,90,40,77,65,63,83,47,92,64,71,80,WMICH
